iter	RMSE
664	45984.46257
665	45934.60915
666	45884.43874
667	45836.30505
668	45814.79814
669	45791.51135
670	45736.39268
671	45702.07164
672	45669.7812
673	45621.73713
674	45582.00216
675	45550.606
676	45524.00663
677	45468.42287
678	45426.14826
679	45386.61943
680	45368.08091
681	45338.97309
682	45277.2586
683	45251.62208
684	45217.93681
685	45158.36692
686	45124.09818
687	45106.24961
688	45066.56401
689	45026.54162
690	44996.46803
691	44981.66701
692	44933.69288
693	44905.92594
694	44880.83456
695	44829.93934
696	44797.32483
697	44762.43397
698	44734.43127
699	44684.21616
700	44632.78771
701	44614.51594
702	44596.76735
703	44570.74664
704	44550.46405
705	44505.51524
706	44469.61724
707	44439.86871
708	44386.2099
709	44355.82379
710	44323.44345
711	44305.98062
712	44266.94697
713	44238.60807
714	44218.92128
715	44184.88107
716	44155.66611
717	44120.90999
718	44091.06536
719	44059.45519
720	44016.52335
721	43987.44265
722	43955.46816
723	43939.32983
724	43918.45586
725	43880.32524
726	43852.83994
727	43815.81749
728	43796.12198
729	43768.84545
730	43721.53271
731	43702.97503
732	43605.03555
733	43507.87228
734	43469.94314
735	43441.47306
736	43407.95241
737	43383.97893
738	43361.94312
739	43304.68768
740	43283.45143
741	43262.8935
742	43231.03237
743	43181.34665
744	43156.30066
745	43123.07746
746	43100.96963
747	43078.66082
748	43033.6676
749	43013.53492
750	42985.57353
751	42945.10091
752	42923.02198
753	42890.10083
754	42854.22382
755	42836.49603
756	42795.22056
757	42778.68477
758	42763.50407
759	42738.62422
760	42707.69969
761	42690.63754
762	42669.54712
763	42654.11013
764	42641.88753
765	42612.84276
766	42585.55541
767	42553.06541
768	42532.02609
769	42481.6426
770	42471.58251
771	42447.4303
772	42417.67598
773	42387.56725
774	42372.86243
775	42354.09209
776	42326.08567
777	42286.02136
778	42243.93194
779	42220.74401
780	42181.2758
781	42158.31299
782	42136.51485
783	42087.86859
784	42052.53094
785	42018.3687
786	41992.26453
787	41968.55821
788	41945.32906
789	41897.4808
790	41857.82268
791	41807.343
792	41775.71906
793	41760.75572
794	41726.99578
795	41705.11266
796	41676.28542
797	41661.20415
798	41644.03997
799	41631.72121
800	41604.23847
801	41562.03904
802	41520.53371
803	41487.77295
804	41462.84156
805	41411.8442
806	41374.19772
807	41342.168
808	41327.33375
809	41306.45271
810	41294.29919
811	41259.48045
812	41240.76631
813	41168.50883
814	41154.89437
815	41132.40347
816	41101.80997
817	41084.594
818	41047.541
819	41036.24053
820	41006.33552
821	40983.78447
822	40955.19088
823	40938.45601
824	40920.95794
825	40907.24221
826	40884.03875
827	40833.07859
828	40802.80122
829	40781.98853
830	40751.06223
831	40729.14473
832	40707.57121
833	40679.62601
834	40644.75505
835	40619.59362
836	40589.04691
837	40572.98598
838	40524.97276
839	40508.35884
840	40487.48149
841	40468.30103
842	40437.25755
843	40411.33023
844	40375.89031
845	40336.88949
846	40293.83515
847	40277.24198
848	40258.61141
849	40229.6218
850	40202.77408
851	40181.36958
852	40168.75305
853	40139.9251
854	40112.83686
855	40099.65218
856	40077.62284
857	40041.14501
858	40015.64475
859	39989.12836
860	39960.87633
861	39938.60079
862	39913.10913
863	39904.78196
864	39878.36884
865	39840.3831
866	39828.56964
867	39790.77923
868	39772.73331
869	39744.56343
870	39725.7943
871	39678.05015
872	39651.75219
873	39637.92191
874	39614.34904
875	39590.03916
876	39578.73784
877	39557.17869
878	39527.72858
879	39513.77643
880	39481.76388
881	39459.84614
882	39444.3568
883	39422.57909
884	39398.89159
885	39368.45012
886	39347.00307
887	39323.53689
888	39299.72697
889	39274.59982
890	39265.60833
891	39243.65127
892	39224.32291
893	39206.26187
894	39189.54888
895	39177.3097
896	39155.64658
897	39135.61898
898	39089.72929
899	39058.80997
900	39042.44434
901	39030.40126
902	39019.41578
903	38996.53196
904	38979.94017
905	38959.26903
906	38944.76402
907	38928.54256
908	38905.56877
909	38875.56491
910	38840.53679
911	38807.63551
912	38799.42568
913	38762.35614
914	38732.03602
915	38706.44489
916	38681.28315
917	38672.00996
918	38638.94697
919	38618.72259
920	38602.86384
921	38572.72362
922	38553.77039
923	38535.2423
924	38507.59664
925	38488.06874
926	38463.81623
927	38424.15811
928	38381.5217
929	38370.18637
930	38345.99238
931	38319.37198
932	38290.60202
933	38248.2282
934	38225.94153
935	38210.57776
936	38197.83467
937	38182.56372
938	38154.67082
939	38137.2212
940	38113.04277
941	38099.30839
942	38087.50954
943	38067.18803
944	38011.71294
945	37999.46685
946	37972.18256
947	37949.4042
948	37923.42859
949	37895.2231
950	37873.90276
951	37861.91099
952	37842.33072
953	37804.47291
954	37765.85702
955	37741.96482
956	37716.73015
957	37697.48938
958	37681.54969
959	37648.83459
960	37630.01884
961	37610.41299
962	37599.06903
963	37580.1822
964	37548.75425
965	37524.84799
966	37508.39973
967	37487.67405
968	37453.78615
969	37409.45052
970	37390.81753
971	37376.26751
972	37367.12039
973	37343.80989
974	37324.10726
975	37305.68751
976	37294.69213
977	37264.37355
978	37228.34469
979	37221.25551
980	37191.15286
981	37174.14712
982	37154.03451
983	37144.83386
984	37125.27405
985	37108.37014
986	37093.33888
987	37072.1361
988	37046.44625
989	37030.14881
990	37018.32393
991	37008.06854
992	36985.56113
993	36971.69017
994	36951.17674
995	36939.52823
996	36920.20805
997	36899.68804
998	36879.22022
999	36846.69842
